id,name,slug_tried,docs_page,note
6,Podio,podio,404,
9,Copper,copper,404,
10,DealCloud,dealcloud,404,
16,LiveAgent,liveagent,404,
20,Gladly,gladly,exists,listed on docs.composio.dev/toolkits but not returned by the /toolkits API for this project
22,Twilio,twilio,exists,toolkit page exists; not returned by the /toolkits API for this project
23,Zoho Cliq,zoho_cliq,exists,
24,Lark (Larksuite),lark,404,
29,Aircall,aircall,exists,
30,Vonage,vonage,404,
39,Threads (Meta),threads,404,
42,WooCommerce,woocommerce,404,
43,BigCommerce,bigcommerce,404,
45,Magento (Adobe Commerce),magento,404,
46,Squarespace,squarespace,exists,
47,Ecwid,ecwid,404,
52,SE Ranking,seranking,404,
59,Waterfall.io,waterfall,404,
68,MongoDB Atlas,mongodb,404,
79,Smartsheet,smartsheet,404,
83,Binance,binance,404,
90,PitchBook,pitchbook,404,
95,Reducto,reducto,exists,
100,Grain,grain,exists,
